sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.064241268,0.032026913,0.015071488999999999,0.09019344,0.07512195099999999,12.86346184,274.40290550000003,0.893369417,0.49191776600000003,0.0,0.059780985,0.08427910599999999,0.015701668000000002,0.275862069,0.0078125,0.0078125,0.0078125,0.0,0.0,1.0
0.06731002900000001,0.040228735,0.019413866999999998,0.09266619,0.073252323,22.42328536,634.6138545,0.892193242,0.513723843,0.0,0.06600874,0.107936554,0.015825915,0.25,0.009014423,0.0078125,0.0546875,0.046875,0.052631579000000005,1.0
0.083829421,0.036718459,0.008701057,0.131908017,0.12320696099999999,30.75715458,1024.927705,0.846389092,0.478904979,0.0,0.077315503,0.09870626199999999,0.015655577,0.271186441,0.007990057,0.0078125,0.015625,0.0078125,0.046511628,1.0
0.072110587,0.158011187,0.096581728,0.20795525199999998,0.111373524,1.232831276,4.17729621,0.963322462,0.727231799,0.083878185,0.15122809199999998,0.088964849,0.017797553,0.25,0.20149739600000002,0.0078125,0.5625,0.5546875,0.24711907800000002,1.0
0.0791461,0.12465622900000001,0.078720218,0.206044929,0.127324711,1.101173666,4.333713155,0.971955076,0.783568058,0.10426140199999999,0.13512038699999998,0.106397845,0.016931217,0.26666666699999997,0.7128125,0.0078125,5.484375,5.4765625,0.208273894,1.0
0.07955686599999999,0.11908984800000001,0.067957993,0.209591599,0.141633606,1.9325624319999999,8.308895037000001,0.9631813459999999,0.738307004,0.112555426,0.132786407,0.11013192,0.017112298999999997,0.253968254,0.298221983,0.0078125,2.7265625,2.71875,0.125159642,1.0
0.074463205,0.16010638300000002,0.092898936,0.205718085,0.11281914900000001,1.530643231,5.987497658,0.96757307,0.76263767,0.086196809,0.15076233,0.105944515,0.026229508,0.26666666699999997,0.479619565,0.0078125,5.3125,5.3046875,0.123991865,1.0
0.076766885,0.144336775,0.11053216800000001,0.231961875,0.121429706,1.397156365,4.766610695,0.95925457,0.7198579070000001,0.12832406699999999,0.16051433199999998,0.09305243,0.017758047,0.144144144,0.30133928600000004,0.0078125,0.5390625,0.53125,0.283936652,1.0
0.078018462,0.138587444,0.08820627800000001,0.20858744399999998,0.120381166,1.099746151,4.070283706000001,0.970722932,0.770992054,0.21910313899999997,0.14223941699999998,0.096728946,0.017957351,0.25,0.336476293,0.0078125,2.1640625,2.15625,0.148272018,1.0
0.080350028,0.12145134699999999,0.075579989,0.201957119,0.12637713,1.190368444,4.787309833,0.975246143,0.804505253,0.011698736000000001,0.13432877699999998,0.105880926,0.019300361999999998,0.262295082,0.34036458299999994,0.015625,4.6953125,4.6796875,0.089919982,1.0
